timestamp,gyroscopeX,gyroscopeY,gyroscopeZ,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ
1402251801693,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251801796,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251801897,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251801998,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251802099,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251802199,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251802301,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251802403,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251802504,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251802606,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251802707,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251802808,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251802909,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251803009,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251803111,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251803212,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251803314,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251803415,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251803516,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251803617,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251803718,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251803820,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251803921,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251804022,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251804123,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251804224,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251804325,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251804426,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251804527,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251804629,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251804730,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251804831,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251804932,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251805034,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251805135,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251805237,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251805339,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251805440,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251805542,0,0,0,0.046875,0.046875,0.998046875,0,0,0
1402251805643,0,0,0,0.046875,0.046875,0.998046875,0,0,0
